Nombre,Asistencia día 1,Asistencia día 2,Asistencia día 3,email,Edad,Ocupación actual,"¿Qué carrera estudió, estudia o planea estudiar?",¿A qué días se compromete asistir?,,
qubit 73,VERDADERO,FALSO,FALSO,hotmail.com,45+,Profesional,Ingeniería Electrónica,,20 de diciembre,
qubit 74,VERDADERO,VERDADERO,FALSO,gmail.com,18-24,Universitario(a),Ingeniería de Software,,20 de diciembre,
qubit 75,VERDADERO,FALSO,FALSO,outlook.com.pe,35-44,Investigador(a),Economía ,,20 de diciembre, 21 de diciembre
qubit 76,VERDADERO,VERDADERO,FALSO,gmail.com,18-24,Universitario(a),Ingeniería de Software ,,20 de diciembre,
qubit 77,VERDADERO,FALSO,FALSO,hotmail.com,45+,Egresado(a),Economía ,,20 de diciembre, 21 de diciembre
qubit 78,VERDADERO,FALSO,FALSO,utec.edu.pe,17 o menos,Universitario(a),Sistemas de Información ,19 de diciembre, 20 de diciembre, 21 de diciembre
qubit 79,FALSO,VERDADERO,VERDADERO,gmail.com,18-24,Profesional,Inteligencia Artificial,,20 de diciembre,
qubit 80,VERDADERO,VERDADERO,FALSO,utec.edu.pe,18-24,Universitario(a),Ciencias de la Computación,19 de diciembre, 20 de diciembre, 21 de diciembre
qubit 81,VERDADERO,FALSO,FALSO,gmail.com,17 o menos,Universitario(a),Psicología,,20 de diciembre,
qubit 82,VERDADERO,FALSO,VERDADERO,,,,,,,
qubit 83,VERDADERO,FALSO,VERDADERO,gmail.com,17 o menos,Otro,Ingeniería de Software ,19 de diciembre, 20 de diciembre, 21 de diciembre
qubit 84,VERDADERO,FALSO,FALSO,gmail.com,18-24,Universitario(a),Medicina humana,19 de diciembre,,
qubit 85,VERDADERO,VERDADERO,VERDADERO,gmail.com,18-24,Universitario(a),Ingeniería Empresarial y de Sistemas,19 de diciembre,,
qubit 86,VERDADERO,FALSO,FALSO,utec.edu.pe,25-34,Universitario(a),Ciencia de datos,19 de diciembre, 20 de diciembre, 21 de diciembre
qubit 87,FALSO,VERDADERO,VERDADERO,gmail.com,35-44,Profesional,Psicología,,,21 de diciembre
qubit 88,VERDADERO,FALSO,VERDADERO,gmail.com,17 o menos,Escolar,Ingeniería Aeroespacial,19 de diciembre, 20 de diciembre, 21 de diciembre
qubit 89,VERDADERO,FALSO,FALSO,gmail.com,25-34,Profesional,Ingeniería de Software ,19 de diciembre, 21 de diciembre,
qubit 90,FALSO,VERDADERO,VERDADERO,uni.pe,18-24,Universitario(a),Física,19 de diciembre, 20 de diciembre, 21 de diciembre
qubit 91,VERDADERO,FALSO,VERDADERO,gmail.com,18-24,Universitario(a),Ingeniería Electrónica,19 de diciembre, 20 de diciembre, 21 de diciembre
qubit 92,VERDADERO,VERDADERO,FALSO,gmail.com,18-24,Universitario(a),Ingeniería Industrial,19 de diciembre, 20 de diciembre, 21 de diciembre
qubit 93,VERDADERO,FALSO,VERDADERO,gmail.com,25-34,Universitario(a),Ingenieria de Sistemas ,,20 de diciembre, 21 de diciembre
qubit 94,VERDADERO,VERDADERO,FALSO,gmail.com,35-44,Otro,Ciencias de la Computación,19 de diciembre,,
qubit 95,FALSO,VERDADERO,VERDADERO,gmail.com,18-24,Universitario(a),Ingenieria de Sistemas,,20 de diciembre, 21 de diciembre
